Date,Korea_KOSPI,Swiss_SMI
2026-01-02,4309.6298828125,
2026-01-05,4457.52001953125,13247.3203125
2026-01-06,4525.47998046875,13322.150390625
2026-01-07,4551.06005859375,13324.0302734375
2026-01-08,4552.3701171875,13350.8203125
2026-01-09,4586.31982421875,13421.8203125
2026-01-12,4624.7900390625,13426.98046875
2026-01-13,4692.64013671875,13364.73046875
2026-01-14,4723.10009765625,13464.83984375
2026-01-15,4797.5498046875,13476.3203125
2026-01-16,4840.740234375,13413.58984375
2026-01-19,4904.66015625,13277.0400390625
2026-01-20,4885.75,13169.9599609375
2026-01-21,4909.93017578125,13156.8095703125
2026-01-22,4952.52978515625,13228.400390625
2026-01-23,4990.06982421875,13147.1298828125
2026-01-26,4949.58984375,13142.01953125
2026-01-27,5084.85009765625,13216.23046875
2026-01-28,5170.81005859375,13023.8095703125
2026-01-29,5221.25,13147.9296875
2026-01-30,5224.35986328125,13188.259765625
2026-02-02,4949.669921875,13409.1103515625
2026-02-03,5288.080078125,13372.580078125
2026-02-04,5371.10009765625,13508.1201171875
2026-02-05,5163.56982421875,13466.0400390625
2026-02-06,5089.14013671875,13431.650390625
2026-02-09,5298.0400390625,13517.73046875
2026-02-10,5301.68994140625,13518.2197265625
2026-02-11,5354.490234375,13547.080078125
2026-02-12,5522.27001953125,13529.919921875
2026-02-13,5507.009765625,13600.669921875
2026-02-16,,13656.0
2026-02-17,,13752.83984375
2026-02-18,,13807.0400390625
2026-02-19,5677.25,13799.58984375
2026-02-20,5808.52978515625,13859.759765625
2026-02-23,5846.08984375,13871.0595703125
2026-02-24,5969.64013671875,13997.1298828125
2026-02-25,6083.85986328125,13977.099609375
2026-02-26,6307.27001953125,13913.73046875
2026-02-27,6244.1298828125,14014.2998046875
2026-03-02,,13834.099609375
2026-03-03,5791.91015625,13404.9296875
2026-03-04,5093.5400390625,13510.740234375
2026-03-05,5583.89990234375,13298.2998046875
2026-03-06,5584.8701171875,13095.5498046875
2026-03-09,5251.8701171875,13000.08984375
2026-03-10,5532.58984375,13065.1904296875
2026-03-11,5609.9501953125,12958.58984375
2026-03-12,5583.25,12842.16015625
2026-03-13,5487.240234375,12839.26953125
2026-03-16,5549.85009765625,12882.2001953125
2026-03-17,5640.47998046875,12962.41015625
2026-03-18,5925.02978515625,12765.48046875
2026-03-19,5763.22021484375,12459.5400390625
2026-03-20,5781.2001953125,12320.990234375
2026-03-23,5405.75,12389.6796875
2026-03-24,5553.919921875,12515.9404296875
2026-03-25,5642.2099609375,12718.3603515625
2026-03-26,5460.4599609375,12641.9599609375
2026-03-27,5438.8701171875,12570.259765625
2026-03-30,5277.2998046875,12668.669921875
2026-03-31,5052.4599609375,12776.7900390625
2026-04-01,5478.7001953125,12991.25
2026-04-02,5234.0498046875,12981.9697265625
2026-04-03,5377.2998046875,
2026-04-06,5450.330078125,
2026-04-07,5494.77978515625,12790.349609375
2026-04-08,5872.33984375,13113.4296875
2026-04-09,5778.009765625,13159.5595703125
2026-04-10,5858.8701171875,13183.2802734375
2026-04-13,5808.6201171875,13145.91015625
2026-04-14,5967.75,13269.76953125
2026-04-15,6091.39013671875,13219.580078125
2026-04-16,6226.0498046875,13173.169921875
2026-04-17,6191.919921875,13426.7197265625
2026-04-20,6219.08984375,13284.2197265625
2026-04-21,6388.47021484375,13134.1396484375
2026-04-22,6417.93017578125,13067.6298828125
2026-04-23,6475.81005859375,13248.0595703125
2026-04-24,6475.6298828125,13169.7001953125
2026-04-27,6615.02978515625,13165.23046875
2026-04-28,6641.02001953125,13147.9404296875
2026-04-29,6690.89990234375,13031.900390625
2026-04-30,6598.8701171875,13136.26953125
2026-05-04,6936.990234375,13003.330078125
2026-05-05,,13052.169921875
2026-05-06,7384.56005859375,13283.259765625
2026-05-07,7490.0498046875,13135.4296875
2026-05-08,7498.0,13100.6298828125
2026-05-11,7822.240234375,13101.330078125
2026-05-12,7643.14990234375,13119.5302734375
2026-05-13,7844.009765625,13212.9599609375
2026-05-14,7981.41015625,
2026-05-15,7493.18017578125,13220.169921875
2026-05-18,7516.0400390625,13240.7001953125
2026-05-19,7271.66015625,13364.7998046875
2026-05-20,7208.9501953125,13399.2900390625
2026-05-21,7815.58984375,13446.4296875
2026-05-22,7847.7099609375,13503.2099609375
2026-05-26,8047.509765625,13525.6796875
2026-05-27,8228.7001953125,13627.41015625
2026-05-28,8185.2900390625,13504.759765625
2026-05-29,8476.150390625,13542.66015625
2026-06-01,8788.3798828125,13305.400390625
2026-06-02,8801.490234375,13305.7197265625
2026-06-03,,13218.3203125
2026-06-04,8639.41015625,13341.26953125
2026-06-05,8160.58984375,13388.23046875
2026-06-08,7484.41015625,13320.990234375
2026-06-09,8096.93017578125,13356.3095703125
2026-06-10,7730.81982421875,13463.330078125
2026-06-11,7763.9501953125,13529.650390625
2026-06-12,8123.6201171875,13708.01953125
2026-06-15,8545.98046875,13717.5400390625
2026-06-16,8726.599609375,13761.5302734375
2026-06-17,8864.240234375,13815.240234375
2026-06-18,9063.83984375,13765.830078125
2026-06-19,9052.419921875,13774.01953125
2026-06-22,9114.5498046875,13848.509765625
2026-06-23,8203.83984375,13910.7001953125
2026-06-24,8471.01953125,14117.75
2026-06-25,8930.2998046875,14231.9599609375
2026-06-26,8411.2099609375,14172.7099609375
2026-06-29,8394.650390625,14223.900390625
2026-06-30,8476.48046875,14193.919921875
2026-07-01,8303.41015625,14114.0
2026-07-02,7648.08984375,14352.98046875
2026-07-03,8088.33984375,14424.240234375
2026-07-06,8051.330078125,14302.259765625
2026-07-07,7656.31005859375,14360.4501953125
2026-07-08,7246.7900390625,14174.349609375
2026-07-09,7291.91015625,14215.2998046875
2026-07-10,7475.93994140625,14235.08984375
2026-07-13,6806.93017578125,14266.1796875
2026-07-14,6856.830078125,14241.76953125
2026-07-15,7284.41015625,14307.3095703125
2026-07-16,6820.60009765625,14267.1904296875
2026-07-17,,14343.7001953125
2026-07-20,6516.27001953125,14254.3603515625
2026-07-21,6747.9501953125,14298.259765625
2026-07-22,6797.7001953125,14315.8798828125
2026-07-23,7096.89013671875,14214.9501953125
2026-07-24,6690.6201171875,14327.2001953125
2026-07-27,6755.75,14421.9697265625
2026-07-28,6023.66015625,14571.330078125
2026-07-29,5663.240234375,14486.099609375
2026-07-30,5593.56005859375,14392.490234375
2026-07-31,6595.4501953125,14346.1396484375
2026-08-03,6257.4501953125,14371.76953125
2026-08-04,6358.9501953125,14463.23046875
2026-08-05,6598.259765625,14551.5595703125
2026-08-06,6296.3798828125,14518.75
2026-08-07,6258.77001953125,14544.91015625
2026-08-10,6299.66015625,14633.7001953125
2026-08-11,6345.52978515625,14575.25
2026-08-12,6579.0400390625,14449.4697265625
2026-08-13,6813.33984375,14475.1298828125
2026-08-14,6977.93994140625,14390.669921875
2026-08-17,,14302.3896484375
2026-08-18,6869.830078125,14320.900390625
2026-08-19,6471.169921875,14386.580078125
2026-08-20,6852.580078125,14368.16015625
2026-08-21,6912.9501953125,14456.98046875
2026-08-24,6696.9599609375,14447.1904296875
2026-08-25,6742.740234375,14525.2900390625
2026-08-26,6808.2099609375,14542.900390625
2026-08-27,6912.3701171875,14384.3701171875
2026-08-28,6788.8798828125,14399.76953125
