Date,Korea_KOSPI,Swiss_SMI,Swiss_Returns,Korea_Returns,Korea_News_Sentiment
2026-01-05,4457.52001953125,13247.3203125,0.0,0.0337405355758556,0.0
2026-01-06,4525.47998046875,13322.150390625,0.0056328014068897,0.0151310826116117,0.0
2026-01-07,4551.06005859375,13324.0302734375,0.000141099607431,0.0056365411796575,0.0
2026-01-08,4552.3701171875,13350.8203125,0.0020086371605718,0.000287816477415,0.0
2026-01-09,4586.31982421875,13421.8203125,0.0053039345233387,0.0074299190426399,0.0
2026-01-12,4624.7900390625,13426.98046875,0.0003843863534598,0.0083530517164324,0.0
2026-01-13,4692.64013671875,13364.73046875,-0.0046469680242273,0.0145643800365743,0.0
2026-01-14,4723.10009765625,13464.83984375,0.0074626494896446,0.0064700313383822,0.0
2026-01-15,4797.5498046875,13476.3203125,0.0008522624399484,0.0156399458799523,0.0
2026-01-16,4840.740234375,13413.58984375,-0.0046657338893381,0.0089623197914654,0.0
2026-01-19,4904.66015625,13277.0400390625,-0.0102321299004165,0.0131181554279723,0.0
2026-01-20,4885.75,13169.9599609375,-0.0080977550013385,-0.0038630005207534,0.0
2026-01-21,4909.93017578125,13156.8095703125,-0.0009990129402769,0.0049369159587805,0.0
2026-01-22,4952.52978515625,13228.400390625,0.0054266004403397,0.0086387928514795,0.0
2026-01-23,4990.06982421875,13147.1298828125,-0.006162588139383,0.007551388756628,0.0
2026-01-26,4949.58984375,13142.01953125,-0.0003887802945907,-0.0081451891958902,0.0
2026-01-27,5084.85009765625,13216.23046875,0.0056309605977773,0.0269608364466475,0.0
2026-01-28,5170.81005859375,13023.8095703125,-0.0146664675334174,0.0167638109484507,0.0
2026-01-29,5221.25,13147.9296875,0.0094851203069241,0.0097074761351023,0.0
2026-01-30,5224.35986328125,13188.259765625,0.0030627141198378,0.0005954393116031,0.0
2026-02-02,4949.669921875,13409.1103515625,0.0166073307914994,-0.0540113842331204,0.0
2026-02-03,5288.080078125,13372.580078125,-0.0027280052533129,0.0661343538940524,0.0
2026-02-04,5371.10009765625,13508.1201171875,0.0100846471095444,0.0155775016368095,0.0
2026-02-05,5163.56982421875,13466.0400390625,-0.0031200313201438,-0.0394045807477043,0.0
2026-02-06,5089.14013671875,13431.650390625,-0.0025570721222918,-0.0145192822814219,0.0
2026-02-09,5298.0400390625,13517.73046875,0.0063883004452474,0.0402280638037949,0.0
2026-02-10,5301.68994140625,13518.2197265625,3.619312870606085e-05,0.0006886783898704,0.0
2026-02-11,5354.490234375,13547.080078125,0.0021326467993539,0.0099098784375814,0.0
2026-02-12,5522.27001953125,13529.919921875,-0.0012675081100141,0.0308535061365069,0.0
